Module Name: 1 Module Base 00400000
SectionNumber: 00000001   SectionVirtualAddress: 00401000
SectionNumber: 00000002   SectionVirtualAddress: 00498000
SectionNumber: 00000003   SectionVirtualAddress: 0049f000
SectionNumber: 00000004   SectionVirtualAddress: 004a2000
SectionNumber: 00000005   SectionVirtualAddress: 004a3000
seg:offset: 0001:00079C78  Address: 0047ac78  symbol£ºloc_47AC78
seg:offset: 0001:0007A855  Address: 0047b855  symbol£ºloc_47B855
seg:offset: 0001:0007AC05  Address: 0047bc05  symbol£ºloc_47BC05
seg:offset: 0001:0007B824  Address: 0047c824  symbol£ºloc_47C824
seg:offset: 0001:0007C7D3  Address: 0047d7d3  symbol£ºloc_47D7D3
seg:offset: 0001:0007D80C  Address: 0047e80c  symbol£ºloc_47E80C
seg:offset: 0001:0007DBF5  Address: 0047ebf5  symbol£ºloc_47EBF5
seg:offset: 0001:0007DE6C  Address: 0047ee6c  symbol£ºloc_47EE6C
seg:offset: 0001:0007DE7F  Address: 0047ee7f  symbol£ºloc_47EE7F
seg:offset: 0001:0007DE93  Address: 0047ee93  symbol£ºloc_47EE93
seg:offset: 0001:0007F10C  Address: 0048010c  symbol£ºloc_48010C
seg:offset: 0001:0008001E  Address: 0048101e  symbol£ºloc_48101E
seg:offset: 0001:00080029  Address: 00481029  symbol£ºloc_481029
seg:offset: 0001:00080035  Address: 00481035  symbol£ºloc_481035
seg:offset: 0001:00080103  Address: 00481103  symbol£ºloc_481103
seg:offset: 0001:0008010F  Address: 0048110f  symbol£ºloc_48110F
seg:offset: 0001:0008011B  Address: 0048111b  symbol£ºloc_48111B
seg:offset: 0001:00080127  Address: 00481127  symbol£ºloc_481127
seg:offset: 0001:0008012E  Address: 0048112e  symbol£ºloc_48112E
seg:offset: 0001:00080140  Address: 00481140  symbol£º__aullrem
seg:offset: 0001:00080161  Address: 00481161  symbol£ºloc_481161
seg:offset: 0001:0008016F  Address: 0048116f  symbol£ºloc_48116F
seg:offset: 0001:0008019A  Address: 0048119a  symbol£ºloc_48119A
seg:offset: 0001:000801A2  Address: 004811a2  symbol£ºloc_4811A2
seg:offset: 0001:000801B1  Address: 004811b1  symbol£ºloc_4811B1
seg:offset: 0001:000801C0  Address: 004811c0  symbol£º__alloca_probe
seg:offset: 0001:000801D4  Address: 004811d4  symbol£ºcs10
seg:offset: 0001:000801E4  Address: 004811e4  symbol£ºcs20
seg:offset: 0001:000801ED  Address: 004811ed  symbol£ºpre_c_initialization(void)
seg:offset: 0001:00080258  Address: 00481258  symbol£ºloc_481258
seg:offset: 0001:00080281  Address: 00481281  symbol£ºloc_481281
seg:offset: 0001:00080289  Address: 00481289  symbol£ºloc_481289
seg:offset: 0001:00080291  Address: 00481291  symbol£ºsub_481291
seg:offset: 0001:00080299  Address: 00481299  symbol£ºsub_481299
seg:offset: 0001:000802AB  Address: 004812ab  symbol£º__scrt_common_main_seh(void)
seg:offset: 0001:000802C3  Address: 004812c3  symbol£ºloc_4812C3
seg:offset: 0001:000802CA  Address: 004812ca  symbol£º$LN27
seg:offset: 0001:00080317  Address: 00481317  symbol£ºloc_481317
seg:offset: 0001:00080334  Address: 00481334  symbol£ºloc_481334
seg:offset: 0001:00080339  Address: 00481339  symbol£ºloc_481339
seg:offset: 0001:00080369  Address: 00481369  symbol£ºloc_481369
seg:offset: 0001:00080387  Address: 00481387  symbol£ºloc_481387
seg:offset: 0001:000803B8  Address: 004813b8  symbol£º$LN28
seg:offset: 0001:000803C1  Address: 004813c1  symbol£ºloc_4813C1
seg:offset: 0001:000803D7  Address: 004813d7  symbol£º$LN17
seg:offset: 0001:000803EA  Address: 004813ea  symbol£º$LN23
seg:offset: 0001:000803EB  Address: 004813eb  symbol£º$LN18
seg:offset: 0001:000803FF  Address: 004813ff  symbol£º$LN29
seg:offset: 0001:0008040A  Address: 0048140a  symbol£ºloc_48140A
seg:offset: 0001:00080414  Address: 00481414  symbol£ºloc_481414
seg:offset: 0001:0008041A  Address: 0048141a  symbol£ºstart
seg:offset: 0001:00080424  Address: 00481424  symbol£ºunknown_libname_1
seg:offset: 0001:00080441  Address: 00481441  symbol£ºfind_pe_section(uchar * const,uint)
seg:offset: 0001:00080466  Address: 00481466  symbol£ºloc_481466
seg:offset: 0001:00080475  Address: 00481475  symbol£ºloc_481475
seg:offset: 0001:0008047C  Address: 0048147c  symbol£ºloc_48147C
seg:offset: 0001:0008047E  Address: 0048147e  symbol£ºloc_48147E
seg:offset: 0001:00080481  Address: 00481481  symbol£ºloc_481481
seg:offset: 0001:00080485  Address: 00481485  symbol£º___scrt_acquire_startup_lock
seg:offset: 0001:00080491  Address: 00481491  symbol£ºloc_481491
seg:offset: 0001:000804A2  Address: 004814a2  symbol£ºloc_4814A2
seg:offset: 0001:000804A6  Address: 004814a6  symbol£ºloc_4814A6
seg:offset: 0001:000804B6  Address: 004814b6  symbol£ºloc_4814B6
seg:offset: 0001:000804BA  Address: 004814ba  symbol£º___scrt_initialize_crt
seg:offset: 0001:000804CA  Address: 004814ca  symbol£ºloc_4814CA
seg:offset: 0001:000804D8  Address: 004814d8  symbol£ºloc_4814D8
seg:offset: 0001:000804DC  Address: 004814dc  symbol£ºloc_4814DC
seg:offset: 0001:000804EF  Address: 004814ef  symbol£ºloc_4814EF
seg:offset: 0001:000804F3  Address: 004814f3  symbol£º___scrt_initialize_onexit_tables
seg:offset: 0001:00080506  Address: 00481506  symbol£ºloc_481506
seg:offset: 0001:00080526  Address: 00481526  symbol£ºloc_481526
seg:offset: 0001:00080539  Address: 00481539  symbol£ºloc_481539
seg:offset: 0001:0008057D  Address: 0048157d  symbol£ºloc_48157D
seg:offset: 0001:00080582  Address: 00481582  symbol£ºloc_481582
seg:offset: 0001:0008058A  Address: 0048158a  symbol£º___scrt_is_nonwritable_in_current_image
seg:offset: 0001:000805EF  Address: 004815ef  symbol£ºloc_4815EF
seg:offset: 0001:00080602  Address: 00481602  symbol£ºloc_481602
seg:offset: 0001:00080605  Address: 00481605  symbol£ºloc_481605
seg:offset: 0001:0008060E  Address: 0048160e  symbol£ºloc_48160E
seg:offset: 0001:00080614  Address: 00481614  symbol£º___scrt_release_startup_lock
seg:offset: 0001:0008062F  Address: 0048162f  symbol£ºloc_48162F
seg:offset: 0001:00080631  Address: 00481631  symbol£º___scrt_uninitialize_crt
seg:offset: 0001:00080643  Address: 00481643  symbol£ºloc_481643
seg:offset: 0001:00080655  Address: 00481655  symbol£ºloc_481655
seg:offset: 0001:00080659  Address: 00481659  symbol£º__onexit
seg:offset: 0001:0008067D  Address: 0048167d  symbol£ºloc_48167D
seg:offset: 0001:00080688  Address: 00481688  symbol£ºloc_481688
seg:offset: 0001:00080694  Address: 00481694  symbol£º_atexit
seg:offset: 0001:000806A9  Address: 004816a9  symbol£º___security_init_cookie
seg:offset: 0001:000806D9  Address: 004816d9  symbol£ºloc_4816D9
seg:offset: 0001:00080721  Address: 00481721  symbol£ºloc_481721
seg:offset: 0001:00080731  Address: 00481731  symbol£ºloc_481731
seg:offset: 0001:0008073F  Address: 0048173f  symbol£ºloc_48173F
seg:offset: 0001:00080745  Address: 00481745  symbol£ºsub_481745
seg:offset: 0001:00080749  Address: 00481749  symbol£ºsub_481749
seg:offset: 0001:0008074C  Address: 0048174c  symbol£º__get_startup_file_mode
seg:offset: 0001:00080752  Address: 00481752  symbol£ºsub_481752
seg:offset: 0001:0008075E  Address: 0048175e  symbol£º__initialize_default_precision
seg:offset: 0001:00080777  Address: 00481777  symbol£ºloc_481777
seg:offset: 0001:0008077F  Address: 0048177f  symbol£º___scrt_initialize_default_local_stdio_options
seg:offset: 0001:0008079C  Address: 0048179c  symbol£ºsub_48179C
seg:offset: 0001:000807A8  Address: 004817a8  symbol£ºsub_4817A8
seg:offset: 0001:000807AE  Address: 004817ae  symbol£ºsub_4817AE
seg:offset: 0001:000807B4  Address: 004817b4  symbol£º___scrt_fastfail
seg:offset: 0001:000807CF  Address: 004817cf  symbol£ºloc_4817CF
seg:offset: 0001:000808C9  Address: 004818c9  symbol£ºloc_4818C9
seg:offset: 0001:000808CF  Address: 004818cf  symbol£º___scrt_is_managed_app
seg:offset: 0001:000808DD  Address: 004818dd  symbol£ºloc_4818DD
seg:offset: 0001:000808E0  Address: 004818e0  symbol£ºloc_4818E0
seg:offset: 0001:00080913  Address: 00481913  symbol£ºsub_481913
seg:offset: 0001:0008091F  Address: 0048191f  symbol£º__scrt_unhandled_exception_filter(x)
seg:offset: 0001:00080954  Address: 00481954  symbol£ºloc_481954
seg:offset: 0001:0008095A  Address: 0048195a  symbol£ºloc_48195A
seg:offset: 0001:00080960  Address: 00481960  symbol£ºsub_481960
seg:offset: 0001:00080968  Address: 00481968  symbol£ºsub_481968
seg:offset: 0001:00080979  Address: 00481979  symbol£ºloc_481979
seg:offset: 0001:00080988  Address: 00481988  symbol£ºloc_481988
seg:offset: 0001:00080990  Address: 00481990  symbol£ºloc_481990
seg:offset: 0001:00080993  Address: 00481993  symbol£ºsub_481993
seg:offset: 0001:000809A4  Address: 004819a4  symbol£ºloc_4819A4
seg:offset: 0001:000809B3  Address: 004819b3  symbol£ºloc_4819B3
seg:offset: 0001:000809BB  Address: 004819bb  symbol£ºloc_4819BB
seg:offset: 0001:000809BE  Address: 004819be  symbol£ºj____guard_check_icall_fptr
seg:offset: 0001:000809D0  Address: 004819d0  symbol£º__SEH_prolog4
seg:offset: 0001:00080A16  Address: 00481a16  symbol£º__SEH_epilog4
seg:offset: 0001:00080A2B  Address: 00481a2b  symbol£º___isa_available_init
seg:offset: 0001:00080AEA  Address: 00481aea  symbol£ºloc_481AEA
seg:offset: 0001:00080AFB  Address: 00481afb  symbol£ºloc_481AFB
seg:offset: 0001:00080B01  Address: 00481b01  symbol£ºloc_481B01
seg:offset: 0001:00080B48  Address: 00481b48  symbol£ºloc_481B48
seg:offset: 0001:00080BBE  Address: 00481bbe  symbol£ºloc_481BBE
seg:offset: 0001:00080BC5  Address: 00481bc5  symbol£º___scrt_is_ucrt_dll_in_use
seg:offset: 0001:00080BD1  Address: 00481bd1  symbol£º__security_check_cookie(x)
seg:offset: 0001:00080BDC  Address: 00481bdc  symbol£º$failure$4
seg:offset: 0001:00080BE2  Address: 00481be2  symbol£º___raise_securityfailure
seg:offset: 0001:00080C0A  Address: 00481c0a  symbol£º___report_gsfailure
seg:offset: 0001:00080C23  Address: 00481c23  symbol£ºloc_481C23
seg:offset: 0001:00080D06  Address: 00481d06  symbol£ºIsProcessorFeaturePresent
seg:offset: 0001:00080D10  Address: 00481d10  symbol£º_ValidateLocalCookies
seg:offset: 0001:00080D2F  Address: 00481d2f  symbol£ºloc_481D2F
seg:offset: 0001:00080D50  Address: 00481d50  symbol£ºSEH_496D70
seg:offset: 0001:00080DB1  Address: 00481db1  symbol£ºloc_481DB1
seg:offset: 0001:00080E19  Address: 00481e19  symbol£ºloc_481E19
seg:offset: 0001:00080E1C  Address: 00481e1c  symbol£ºloc_481E1C
seg:offset: 0001:00080E2C  Address: 00481e2c  symbol£ºloc_481E2C
seg:offset: 0001:00080E2F  Address: 00481e2f  symbol£ºloc_481E2F
seg:offset: 0001:00080E3E  Address: 00481e3e  symbol£ºloc_481E3E
seg:offset: 0001:00080E4A  Address: 00481e4a  symbol£ºloc_481E4A
seg:offset: 0001:00080E53  Address: 00481e53  symbol£ºloc_481E53
seg:offset: 0001:00080E6E  Address: 00481e6e  symbol£ºloc_481E6E
seg:offset: 0001:00080E7A  Address: 00481e7a  symbol£ºloc_481E7A
seg:offset: 0001:00080E84  Address: 00481e84  symbol£ºloc_481E84
seg:offset: 0001:00080E96  Address: 00481e96  symbol£ºloc_481E96
seg:offset: 0001:00080EB6  Address: 00481eb6  symbol£º___vcrt_initialize
seg:offset: 0001:00080EC9  Address: 00481ec9  symbol£ºloc_481EC9
seg:offset: 0001:00080ECC  Address: 00481ecc  symbol£ºloc_481ECC
seg:offset: 0001:00080EDC  Address: 00481edc  symbol£ºloc_481EDC
seg:offset: 0001:00080EDF  Address: 00481edf  symbol£º___vcrt_uninitialize
seg:offset: 0001:00080EFA  Address: 00481efa  symbol£ºloc_481EFA
seg:offset: 0001:00080F00  Address: 00481f00  symbol£º_memset
seg:offset: 0001:00080F45  Address: 00481f45  symbol£ºXMMMov
seg:offset: 0001:00080F80  Address: 00481f80  symbol£ºLargeRangeBytes
seg:offset: 0001:00080FBD  Address: 00481fbd  symbol£ºXmmMovSmall
seg:offset: 0001:00080FD0  Address: 00481fd0  symbol£ºXmmSmallLoop
seg:offset: 0001:00080FD5  Address: 00481fd5  symbol£ºMidRangeBytes
seg:offset: 0001:00080FF1  Address: 00481ff1  symbol£ºXMMTrailingBytes
seg:offset: 0001:00081005  Address: 00482005  symbol£ºSmallMov
seg:offset: 0001:0008100D  Address: 0048200d  symbol£ºByteLoop
seg:offset: 0001:0008101B  Address: 0048201b  symbol£ºDwordTest
seg:offset: 0001:0008102B  Address: 0048202b  symbol£ºQwordTest
seg:offset: 0001:00081040  Address: 00482040  symbol£ºQwordLoop
seg:offset: 0001:00081053  Address: 00482053  symbol£ºtoend
seg:offset: 0001:00081060  Address: 00482060  symbol£º__local_unwind4
seg:offset: 0001:00081092  Address: 00482092  symbol£º_lu_top
seg:offset: 0001:000810B4  Address: 004820b4  symbol£ºloc_4820B4
seg:offset: 0001:000810E2  Address: 004820e2  symbol£º_lu_done
seg:offset: 0001:000810F0  Address: 004820f0  symbol£º__unwind_handler4
seg:offset: 0001:00081135  Address: 00482135  symbol£ºlocret_482135
seg:offset: 0001:00081136  Address: 00482136  symbol£º_seh_longjmp_unwind4(x)
seg:offset: 0001:0008115E  Address: 0048215e  symbol£º_EH4_CallFilterFunc(x,x)
seg:offset: 0001:00081175  Address: 00482175  symbol£º_EH4_TransferToHandler(x,x)
seg:offset: 0001:0008118E  Address: 0048218e  symbol£º_EH4_GlobalUnwind2(x,x)
seg:offset: 0001:000811A2  Address: 004821a2  symbol£ºReturnPoint
seg:offset: 0001:000811A7  Address: 004821a7  symbol£º_EH4_LocalUnwind(x,x,x,x)
seg:offset: 0001:000811BE  Address: 004821be  symbol£ºnullsub_1
seg:offset: 0001:000811BF  Address: 004821bf  symbol£º__vcrt_freefls(x)
seg:offset: 0001:000811D7  Address: 004821d7  symbol£ºloc_4821D7
seg:offset: 0001:000811DB  Address: 004821db  symbol£º___vcrt_initialize_ptd
seg:offset: 0001:000811F0  Address: 004821f0  symbol£ºloc_4821F0
seg:offset: 0001:000811F3  Address: 004821f3  symbol£ºloc_4821F3
seg:offset: 0001:0008120B  Address: 0048220b  symbol£ºloc_48220B
seg:offset: 0001:0008120E  Address: 0048220e  symbol£º___vcrt_uninitialize_ptd
seg:offset: 0001:00081226  Address: 00482226  symbol£ºloc_482226
seg:offset: 0001:00081229  Address: 00482229  symbol£º___vcrt_initialize_locks
seg:offset: 0001:00081232  Address: 00482232  symbol£ºloc_482232
seg:offset: 0001:0008125B  Address: 0048225b  symbol£ºloc_48225B
seg:offset: 0001:00081262  Address: 00482262  symbol£ºloc_482262
seg:offset: 0001:00081265  Address: 00482265  symbol£º___vcrt_uninitialize_locks
seg:offset: 0001:0008127A  Address: 0048227a  symbol£ºloc_48227A
seg:offset: 0001:00081290  Address: 00482290  symbol£ºloc_482290
seg:offset: 0001:00081294  Address: 00482294  symbol£ºtry_get_function(`anonymous namespace'::function_id,char const * const,module_id::module_id const * const,module_id::module_id const * const)
seg:offset: 0001:000812C8  Address: 004822c8  symbol£ºloc_4822C8
seg:offset: 0001:000812CC  Address: 004822cc  symbol£ºloc_4822CC
seg:offset: 0001:000812D4  Address: 004822d4  symbol£ºloc_4822D4
seg:offset: 0001:000812EE  Address: 004822ee  symbol£ºloc_4822EE
seg:offset: 0001:000812F0  Address: 004822f0  symbol£ºloc_4822F0
seg:offset: 0001:0008130F  Address: 0048230f  symbol£ºloc_48230F
seg:offset: 0001:00081317  Address: 00482317  symbol£ºloc_482317
seg:offset: 0001:0008131D  Address: 0048231d  symbol£ºloc_48231D
seg:offset: 0001:0008132D  Address: 0048232d  symbol£ºloc_48232D
seg:offset: 0001:0008132F  Address: 0048232f  symbol£ºloc_48232F
seg:offset: 0001:00081334  Address: 00482334  symbol£ºtry_get_module(`anonymous namespace'::module_id)
seg:offset: 0001:0008135C  Address: 0048235c  symbol£ºloc_48235C
seg:offset: 0001:00081390  Address: 00482390  symbol£ºloc_482390
seg:offset: 0001:00081392  Address: 00482392  symbol£ºloc_482392
seg:offset: 0001:0008139F  Address: 0048239f  symbol£ºloc_48239F
seg:offset: 0001:000813AE  Address: 004823ae  symbol£ºloc_4823AE
seg:offset: 0001:000813B0  Address: 004823b0  symbol£ºloc_4823B0
seg:offset: 0001:000813B1  Address: 004823b1  symbol£ºloc_4823B1
seg:offset: 0001:000813B5  Address: 004823b5  symbol£º___vcrt_FlsAlloc
seg:offset: 0001:000813E7  Address: 004823e7  symbol£ºloc_4823E7
seg:offset: 0001:000813EF  Address: 004823ef  symbol£º___vcrt_FlsFree
seg:offset: 0001:00081420  Address: 00482420  symbol£ºloc_482420
seg:offset: 0001:00081426  Address: 00482426  symbol£ºloc_482426
seg:offset: 0001:00081429  Address: 00482429  symbol£º___vcrt_FlsSetValue
seg:offset: 0001:0008145D  Address: 0048245d  symbol£ºloc_48245D
seg:offset: 0001:00081463  Address: 00482463  symbol£ºloc_482463
seg:offset: 0001:00081466  Address: 00482466  symbol£º___vcrt_InitializeCriticalSectionEx
seg:offset: 0001:0008149D  Address: 0048249d  symbol£ºloc_48249D
seg:offset: 0001:000814A9  Address: 004824a9  symbol£ºloc_4824A9
seg:offset: 0001:000814AC  Address: 004824ac  symbol£º___vcrt_initialize_winapi_thunks
seg:offset: 0001:000814DA  Address: 004824da  symbol£ºloc_4824DA
seg:offset: 0001:000814E6  Address: 004824e6  symbol£º___vcrt_uninitialize_winapi_thunks
seg:offset: 0001:000814F5  Address: 004824f5  symbol£ºloc_4824F5
seg:offset: 0001:00081507  Address: 00482507  symbol£ºloc_482507
seg:offset: 0001:0008150A  Address: 0048250a  symbol£ºloc_48250A
seg:offset: 0001:00081516  Address: 00482516  symbol£ºloc_482516
seg:offset: 0001:00081518  Address: 00482518  symbol£º___vcrt_initialize_pure_virtual_call_handler
seg:offset: 0001:00081540  Address: 00482540  symbol£º__global_unwind2
seg:offset: 0001:00081558  Address: 00482558  symbol£º_gu_return
seg:offset: 0001:00081560  Address: 00482560  symbol£º__unwind_handler
seg:offset: 0001:000815A4  Address: 004825a4  symbol£º_uh_return
seg:offset: 0001:000815A5  Address: 004825a5  symbol£º__local_unwind2
seg:offset: 0001:000815CE  Address: 004825ce  symbol£º_lu_top_0
seg:offset: 0001:000815EA  Address: 004825ea  symbol£º_continue_
seg:offset: 0001:00081615  Address: 00482615  symbol£º_lu_continue
seg:offset: 0001:00081617  Address: 00482617  symbol£º_lu_done_0
seg:offset: 0001:00081629  Address: 00482629  symbol£º__abnormal_termination
seg:offset: 0001:0008164B  Address: 0048264b  symbol£º_at_done
seg:offset: 0001:0008164C  Address: 0048264c  symbol£º__NLG_Notify1
seg:offset: 0001:00081655  Address: 00482655  symbol£º__NLG_Notify
seg:offset: 0001:00081660  Address: 00482660  symbol£º__NLG_Go
seg:offset: 0001:0008166C  Address: 0048266c  symbol£º__NLG_Dispatch2
seg:offset: 0001:00081674  Address: 00482674  symbol£º__NLG_Call
seg:offset: 0001:00081676  Address: 00482676  symbol£º__NLG_Return2
seg:offset: 0001:00081680  Address: 00482680  symbol£º_strlen
seg:offset: 0001:0008168C  Address: 0048268c  symbol£ºstr_misaligned_0
seg:offset: 0001:000816B0  Address: 004826b0  symbol£ºmain_loop_0
seg:offset: 0001:000816E3  Address: 004826e3  symbol£ºloc_4826E3
seg:offset: 0001:000816ED  Address: 004826ed  symbol£ºloc_4826ED
seg:offset: 0001:000816F7  Address: 004826f7  symbol£ºloc_4826F7
seg:offset: 0001:00081701  Address: 00482701  symbol£ºloc_482701
seg:offset: 0001:00081710  Address: 00482710  symbol£º_strcmp
seg:offset: 0001:00081720  Address: 00482720  symbol£ºdodwords
seg:offset: 0001:00081750  Address: 00482750  symbol£ºdoneeq
seg:offset: 0001:00081758  Address: 00482758  symbol£ºdonene
seg:offset: 0001:00081760  Address: 00482760  symbol£ºdopartial
seg:offset: 0001:00081780  Address: 00482780  symbol£ºdoword
seg:offset: 0001:0008179C  Address: 0048279c  symbol£º___acrt_initialize_stdio
seg:offset: 0001:000817B0  Address: 004827b0  symbol£ºloc_4827B0
seg:offset: 0001:000817B6  Address: 004827b6  symbol£ºloc_4827B6
seg:offset: 0001:000817BB  Address: 004827bb  symbol£ºloc_4827BB
seg:offset: 0001:00081806  Address: 00482806  symbol£ºloc_482806
seg:offset: 0001:0008180E  Address: 0048280e  symbol£ºloc_48280E
seg:offset: 0001:0008184C  Address: 0048284c  symbol£ºloc_48284C
seg:offset: 0001:00081853  Address: 00482853  symbol£ºloc_482853
seg:offset: 0001:00081864  Address: 00482864  symbol£º___acrt_iob_func
seg:offset: 0001:00081874  Address: 00482874  symbol£º___acrt_uninitialize_stdio
seg:offset: 0001:00081883  Address: 00482883  symbol£ºloc_482883
seg:offset: 0001:000818C0  Address: 004828c0  symbol£º__lock_file
seg:offset: 0001:000818D4  Address: 004828d4  symbol£º__unlock_file
seg:offset: 0001:000818E8  Address: 004828e8  symbol£º??$?RV<lambda_11b4f7b0d3157825a5656a18eba1ae27>@@AAV<lambda_b51c0495177f500e782686251704ae76>@@V<lambda_cf89b47920b5017557bfe891e78aca36>@@@?$__crt_seh_guarded_call@I@@QAEI$$QAV<lambda_11b4f7b0d3157825a5656a18eba1ae27>@@AAV<lambda_b51c0495177f500e782686251704ae76>@@$$QAV<lambda_cf89b47920b5017557bfe891e78aca36>@@@Z
seg:offset: 0001:00081920  Address: 00482920  symbol£ºloc_482920
seg:offset: 0001:0008192A  Address: 0048292a  symbol£ºloc_48292A
seg:offset: 0001:0008192D  Address: 0048292d  symbol£ºloc_48292D
seg:offset: 0001:00081939  Address: 00482939  symbol£º??$__acrt_lock_stream_and_call@V<lambda_b51c0495177f500e782686251704ae76>@@@@YAIQAU_iobuf@@$$QAV<lambda_b51c0495177f500e782686251704ae76>@@@Z
seg:offset: 0001:00081961  Address: 00482961  symbol£ºsub_482961
seg:offset: 0001:00081989  Address: 00482989  symbol£ºloc_482989
seg:offset: 0001:000819A1  Address: 004829a1  symbol£ºloc_4829A1
seg:offset: 0001:000819A9  Address: 004829a9  symbol£ºloc_4829A9
seg:offset: 0001:000819FB  Address: 004829fb  symbol£ºloc_4829FB
seg:offset: 0001:00081A02  Address: 00482a02  symbol£ºloc_482A02
seg:offset: 0001:00081A56  Address: 00482a56  symbol£ºloc_482A56
seg:offset: 0001:00081A6A  Address: 00482a6a  symbol£ºloc_482A6A
seg:offset: 0001:00081A80  Address: 00482a80  symbol£ºloc_482A80
seg:offset: 0001:00081A8A  Address: 00482a8a  symbol£ºloc_482A8A
seg:offset: 0001:00081A8D  Address: 00482a8d  symbol£ºloc_482A8D
seg:offset: 0001:00081AAE  Address: 00482aae  symbol£ºloc_482AAE
seg:offset: 0001:00081AB2  Address: 00482ab2  symbol£ºloc_482AB2
seg:offset: 0001:00081AC1  Address: 00482ac1  symbol£ºloc_482AC1
seg:offset: 0001:00081AC5  Address: 00482ac5  symbol£ºloc_482AC5
seg:offset: 0001:00081ACA  Address: 00482aca  symbol£ºloc_482ACA
seg:offset: 0001:00081AD7  Address: 00482ad7  symbol£ºloc_482AD7
seg:offset: 0001:00081ADD  Address: 00482add  symbol£ºcommon_vsprintf_s<char>(unsigned __int64,char * const,uint,char const * const,__crt_locale_pointers * const,char * const)
seg:offset: 0001:00081AFD  Address: 00482afd  symbol£ºloc_482AFD
seg:offset: 0001:00081B2D  Address: 00482b2d  symbol£ºloc_482B2D
seg:offset: 0001:00081B3F  Address: 00482b3f  symbol£ºloc_482B3F
seg:offset: 0001:00081B4A  Address: 00482b4a  symbol£ºloc_482B4A
seg:offset: 0001:00081B52  Address: 00482b52  symbol£ºloc_482B52
seg:offset: 0001:00081B55  Address: 00482b55  symbol£º__crt_stdio_output::formatting_buffer::count<char>(void)
seg:offset: 0001:00081B64  Address: 00482b64  symbol£ºloc_482B64
seg:offset: 0001:00081B6D  Address: 00482b6d  symbol£º__crt_stdio_output::formatting_buffer::ensure_buffer_is_big_enough<char>(uint)
seg:offset: 0001:00081B98  Address: 00482b98  symbol£ºloc_482B98
seg:offset: 0001:00081BAD  Address: 00482bad  symbol£ºloc_482BAD
seg:offset: 0001:00081BB5  Address: 00482bb5  symbol£ºloc_482BB5
seg:offset: 0001:00081BB9  Address: 00482bb9  symbol£ºloc_482BB9
seg:offset: 0001:00081BE1  Address: 00482be1  symbol£ºloc_482BE1
seg:offset: 0001:00081BEA  Address: 00482bea  symbol£ºloc_482BEA
seg:offset: 0001:00081BEB  Address: 00482beb  symbol£ºloc_482BEB
seg:offset: 0001:00081BF3  Address: 00482bf3  symbol£º__crt_stdio_output::is_wide_character_specifier<char>(unsigned __int64,char,__crt_stdio_output::length_modifier)
seg:offset: 0001:00081C20  Address: 00482c20  symbol£ºloc_482C20
seg:offset: 0001:00081C22  Address: 00482c22  symbol£ºloc_482C22
seg:offset: 0001:00081C2B  Address: 00482c2b  symbol£ºloc_482C2B
seg:offset: 0001:00081C2F  Address: 00482c2f  symbol£ºloc_482C2F
seg:offset: 0001:00081C33  Address: 00482c33  symbol£º__crt_stdio_output::formatting_buffer::scratch_data<char>(void)
seg:offset: 0001:00081C4C  Address: 00482c4c  symbol£ºloc_482C4C
seg:offset: 0001:00081C4E  Address: 00482c4e  symbol£ºloc_482C4E
seg:offset: 0001:00081C51  Address: 00482c51  symbol£ºunknown_libname_2
seg:offset: 0001:00081C6A  Address: 00482c6a  symbol£ºloc_482C6A
seg:offset: 0001:00081C78  Address: 00482c78  symbol£ºloc_482C78
seg:offset: 0001:00081C83  Address: 00482c83  symbol£ºloc_482C83
seg:offset: 0001:00081CA9  Address: 00482ca9  symbol£ºloc_482CA9
seg:offset: 0001:00081CB3  Address: 00482cb3  symbol£ºloc_482CB3
seg:offset: 0001:00081CC6  Address: 00482cc6  symbol£ºunknown_libname_3
seg:offset: 0001:00081CE1  Address: 00482ce1  symbol£ºloc_482CE1
seg:offset: 0001:00081CF2  Address: 00482cf2  symbol£ºloc_482CF2
seg:offset: 0001:00081CFF  Address: 00482cff  symbol£ºloc_482CFF
seg:offset: 0001:00081D2F  Address: 00482d2f  symbol£ºloc_482D2F
seg:offset: 0001:00081D39  Address: 00482d39  symbol£ºloc_482D39
seg:offset: 0001:00081D4E  Address: 00482d4e  symbol£º__crt_stdio_output::write_multiple_characters<__crt_stdio_output::stream_output_adapter<char>,char>(__crt_stdio_output::stream_output_adapter<char> const &,char,int,int * const)
seg:offset: 0001:00081D5F  Address: 00482d5f  symbol£ºloc_482D5F
seg:offset: 0001:00081D76  Address: 00482d76  symbol£ºloc_482D76
seg:offset: 0001:00081D77  Address: 00482d77  symbol£ºloc_482D77
seg:offset: 0001:00081D7A  Address: 00482d7a  symbol£º__crt_stdio_output::write_multiple_characters<__crt_stdio_output::string_output_adapter<char>,char>(__crt_stdio_output::string_output_adapter<char> const &,char,int,int * const)
seg:offset: 0001:00081D8B  Address: 00482d8b  symbol£ºloc_482D8B
seg:offset: 0001:00081DA2  Address: 00482da2  symbol£ºloc_482DA2
seg:offset: 0001:00081DA3  Address: 00482da3  symbol£ºloc_482DA3
seg:offset: 0001:00081DA6  Address: 00482da6  symbol£º__crt_stdio_output::common_data<char>::common_data<char>(void)
seg:offset: 0001:00081DED  Address: 00482ded  symbol£ºunknown_libname_4
